Date,Percentage
2007-01-03,0.0
2007-01-04,0.0
2007-01-05,0.0
2007-01-08,0.0
2007-01-09,0.0
2007-01-10,0.0
2007-01-11,0.0
2007-01-12,0.0
2007-01-16,0.0
2007-01-17,77.27272727272727
2007-01-18,68.18181818181817
2007-01-19,100.0
2007-01-22,86.36363636363636
2007-01-23,100.0
2007-01-24,100.0
2007-01-25,45.45454545454545
2007-01-26,50.0
2007-01-29,40.909090909090914
2007-01-30,77.27272727272727
2007-01-31,81.81818181818183
2007-02-01,95.45454545454545
2007-02-02,90.9090909090909
2007-02-05,81.81818181818183
2007-02-06,100.0
2007-02-07,100.0
2007-02-08,95.45454545454545
2007-02-09,54.54545454545454
2007-02-12,31.818181818181817
2007-02-13,77.27272727272727
2007-02-14,95.45454545454545
2007-02-15,100.0
2007-02-16,95.45454545454545
2007-02-20,100.0
2007-02-21,77.27272727272727
2007-02-22,95.45454545454545
2007-02-23,90.9090909090909
2007-02-26,77.27272727272727
2007-02-27,0.0
2007-02-28,0.0
2007-03-01,0.0
2007-03-02,0.0
2007-03-05,0.0
2007-03-06,0.0
2007-03-07,4.545454545454546
2007-03-08,54.54545454545454
2007-03-09,86.36363636363636
2007-03-12,100.0
2007-03-13,13.636363636363635
2007-03-14,50.0
2007-03-15,68.18181818181817
2007-03-16,72.72727272727273
2007-03-19,100.0
2007-03-20,100.0
2007-03-21,100.0
2007-03-22,100.0
2007-03-23,100.0
2007-03-26,100.0
2007-03-27,95.45454545454545
2007-03-28,72.72727272727273
2007-03-29,90.9090909090909
2007-03-30,77.27272727272727
2007-04-02,81.81818181818183
2007-04-03,95.45454545454545
2007-04-04,100.0
2007-04-05,95.45454545454545
2007-04-09,95.45454545454545
2007-04-10,100.0
2007-04-11,100.0
2007-04-12,95.45454545454545
2007-04-13,95.45454545454545
2007-04-16,100.0
2007-04-17,90.9090909090909
2007-04-18,77.27272727272727
2007-04-19,59.09090909090909
2007-04-20,86.36363636363636
2007-04-23,72.72727272727273
2007-04-24,59.09090909090909
2007-04-25,86.36363636363636
2007-04-26,68.18181818181817
2007-04-27,54.54545454545454
